Stats,Last 3,Last 5,Season
Passes,369.3333333333333,422.2,406.6
Accurate passes,237,292.2,284.9
Chances,4.666666666666667,5,3.6
Chances successful,2,1.5,1.5
Accurate passes,237,292.2,284.9
Key passes,6,5.8,4.75
Key passes accurate,3.3333333333333335,3,2.625
Crosses,7.333333333333333,9.6,8
Crosses accurate,2.5,2.25,2.5
Dribbles,17,22.8,24.8
Dribbles successful,9.666666666666666,12.4,13
Lost balls,104.66666666666667,105.8,101.3
Lost balls in own half,34,31.2,34.6
Entrances on opponent's half,67.66666666666667,75.2,67.6
Entrances on final third of opponent's half,36,40.8,32.1
Entrances to the opponent's box,10.333333333333334,11.8,9.5
