Stats,Last 3,Last 5,Season
Attacks - left flank,96,186,301
Attacks with shots - left flank,4,7,12
Attacks - center,72,127,225
Attacks with shots - center,8,16,22
Attacks - right flank,80,143,294
Attacks with shots - right flank,5,8,15
Positional attacks,195,371,679
Positional attacks with shots,10,21,37
Counter-attacks,53,85,141
Counter-attacks with a shot,7,10,12
Set pieces attacks,28,57,107
Attacks with shots - Set pieces attacks,8,18,32
Free-kick attacks,12,24,52
Free-kick attacks with shots,5,8,18
Corner attacks,9,17,29
Corner attacks with shots,2,6,9
