Stats,Last 3,Last 5,Season
Challenges,201.66666666666666,212,207.5
Challenges won,98.66666666666667,103.6,102.6
Attacking challenges,86,99.6,96.2
Attacking challenges won,34,41.2,39.8
Defensive challenges,115.66666666666667,112.4,111.3
Defensive challenges won,64.66666666666667,62.4,62.8
Air challenges,39,39.8,36.6
Air challenges won,19,19.4,17.7
Tackles,52.666666666666664,50.6,50
Tackles successful,32,30.6,29.4
Fouls,12.666666666666666,11.4,12.1
Ball recoveries,70,72,67
Ball recoveries in opponent's half,12.666666666666666,14.2,13.6
Ball interceptions,65.33333333333333,64.8,64.1
Free ball pick ups,83,86.8,83.8
Team pressing,20.666666666666668,21.2,21.1
Opponent's xG,1.9566666666666666,1.672,1.734
Opponent's xG per shot,0.1,0.112,0.111
