Date,Team,Opponent,Score,InStat Index,Goals,Chances,Chances successful,Fouls,Yellow cards,Red cards,Tactics,Offsides,Corners,Shots,Shots on target,Passes,Key passes,Key passes accurate,Crosses,Lost balls,Lost balls in own half,Ball recoveries,Ball recoveries in opponent's half,Team pressing,Entrances on opponent's half,Entrances on final third of opponent's half,Entrances to the opponent's box,Opponent's passes per defensive action,Accurate passes,Crosses accurate,xG (Expected goals),Opponent's xG,Net xG (xG - Opponent's xG),Expected points,xG conversion,xG per shot,Opponent's xG per shot,Opponent's xG per goal,xG per goal,Attacks - left flank,Attacks with shots - left flank,Attacks - center,Attacks with shots - center,Attacks - right flank,Attacks with shots - right flank,Positional attacks,Positional attacks with shots,Counter-attacks,Counter-attacks with a shot,Set pieces attacks,Attacks with shots - Set pieces attacks,Free-kick attacks,Free-kick attacks with shots,Corner attacks,Corner attacks with shots,Throw-in attacks,Throw-in attacks with shots,Free-kick shots,Goals - Free-kick attack,Penalties,"Penalties
 scored",Challenges,Challenges won,Defensive challenges,Defensive challenges won,"Challenges in defence won, %",Attacking challenges,Attacking challenges won,"Challenges in attack won, %",Air challenges,Air challenges won,Dribbles,Dribbles successful,Tackles,Tackles successful,Ball interceptions,Free ball pick ups,Total actions,Successful actions,Shots wide,Blocked shots,Shots on post / bar,Team pressing successful,Building-ups,Building-ups without pressing,High pressing,High pressing successful,Low pressing,Low pressing successful,"Ball possession, min","Ball possessions, quantity","Average duration of ball possession, min"
44469,Drake,vs Indiana,1 : 1,142,1,4,1,7,0,0,4-1-4-1,1,3,16,6,708,4,2,12,126,27,97,33,27,106,60,21,3.6,526,1,2.1,1.29,0.85,2,0.47,0.13,0.11,1.29,2.1,44,3,31,4,45,1,101,6,19,2,16,7,6,4,3,0,6,2,0,0,1,1,306,164,149,88,59%,157,76,48%,67,41,40,24,69,38,65,130,1278,918,5,5,0,18,61,29,7,5,20,13,44:01,181,0:15
44464,Drake,@ Evansville,1 : 1,147,1,6,1,18,2,0,4-1-4-1,1,2,22,6,514,7,4,12,100,21,84,12,15,84,54,21,1.96,401,5,1.99,1.4,0.59,2,0.5,0.09,0.12,1.4,1.99,31,3,34,8,43,4,92,12,16,4,11,5,5,3,3,1,3,1,0,0,0,0,255,129,117,70,60%,138,59,43%,47,30,59,34,47,30,99,87,1040,763,9,7,0,10,44,27,4,3,11,7,39:36,158,0:15
44458,Drake,vs Western Illinoi,0 : 0,141,0,5,0,15,1,0,4-2-3-1,8,5,12,5,461,10,4,9,122,31,93,23,25,89,47,14,3.8,290,2,1.13,1.53,-0.4,0.7,0,0.09,0.1,0,0,38,2,30,3,40,3,82,5,26,3,12,4,3,2,5,1,4,1,0,0,0,0,211,104,125,73,58%,86,31,36%,35,22,18,9,53,30,55,131,912,609,5,1,1,15,36,9,11,8,14,7,30:30,165,0:11
44456,Drake,vs UMKC,2 : 0,145,2,5,2,13,2,0,4-2-3-1,1,4,8,5,395,6,4,12,98,34,63,7,16,69,44,15,2.8,289,3,1.37,0.54,0.83,2,0.73,0.17,0.07,0,1.37,40,2,18,2,21,2,63,3,16,3,12,3,5,2,4,1,3,0,0,0,0,0,218,117,108,70,65%,110,47,43%,33,14,25,15,59,44,60,68,775,556,1,2,0,10,36,11,7,5,9,5,25:43,135,0:11
44451,Drake,vs Memphis,2 : 0,160,2,4,2,10,1,0,4-2-3-1,0,0,4,3,252,2,2,1,94,37,54,8,21,45,17,2,3.6,132,0,0.48,3.8,-3.32,0.1,4.2,0.12,0.13,0,0.24,18,0,24,3,19,0,50,2,11,1,4,1,4,1,0,0,0,0,0,0,0,0,176,75,114,51,45%,62,24,39%,49,21,8,5,46,22,81,50,602,357,1,0,0,11,32,13,9,7,12,4,18:40,120,0:09
44448,Drake,@ South Dakota,1 : 4,138,1,4,1,7,1,0,4-1-4-1,0,2,12,7,512,3,1,8,108,33,69,13,18,67,33,10,3,398,1,1.34,2.1,-0.79,0.5,0.75,0.11,0.21,0.71,1.34,43,2,23,3,30,2,85,6,11,1,8,3,5,2,2,1,1,0,1,0,0,0,243,114,123,70,57%,120,44,37%,28,16,34,16,68,38,74,76,969,694,2,3,0,13,58,23,6,6,12,7,31:10,145,0:13
44444,Drake,vs St. Thomas,1 : 0,152,1,7,1,12,0,0,4-2-3-1,3,6,14,7,491,8,4,18,107,21,81,20,26,106,63,18,4.2,352,3,1.96,0.39,1.57,2.7,0.51,0.14,0.05,0,1.96,47,1,32,5,33,1,91,5,21,2,21,7,7,1,6,3,8,3,0,0,0,0,212,108,92,48,52%,120,60,50%,54,24,29,17,27,19,54,109,914,650,6,1,0,16,34,8,7,7,19,9,30:17,160,0:11
44437,Drake,@ Iowa State,2 : 1,147,2,2,2,23,1,0,4-2-3-1,0,2,3,2,313,0,0,4,86,39,48,1,16,43,22,3,2.7,210,0,0.74,2,-1.26,0.3,2.7,0.25,0.11,2,0.37,19,0,22,0,24,0,55,0,10,0,6,3,4,3,2,0,0,0,0,0,0,0,178,71,90,45,50%,88,26,30%,43,14,15,4,36,21,80,69,683,446,0,1,0,6,40,11,8,2,8,4,21:08,123,0:10
44435,Drake,vs Minnesota,0 : 1,141,0,1,0,8,0,1,4-2-3-1,2,1,4,0,362,1,1,3,96,34,53,10,25,57,12,6,3.7,269,0,0.47,2.3,-1.81,0.1,0,0.12,0.13,2.3,0,21,0,13,0,39,3,66,3,7,0,8,1,3,1,1,0,4,0,0,0,0,0,207,108,108,65,60%,99,43,43%,37,20,11,7,44,26,52,77,743,519,3,0,1,12,49,5,3,1,22,11,23:09,126,0:11
44430,Drake,@ Creighton,0 : 2,139,0,2,0,14,2,0,4-2-3-1,1,2,5,2,313,0,0,4,88,39,56,10,18,51,19,6,4.7,207,0,0.37,3.1,-2.73,0.1,0,0.07,0.15,1.55,0,16,0,14,1,30,0,50,1,10,0,10,4,8,3,2,1,0,0,1,0,0,0,199,101,113,56,50%,86,45,52%,31,16,39,23,54,27,59,70,682,458,2,1,0,6,34,6,12,5,6,1,20:24,116,0:11
44458,Illinois State,vs Toledo,0 : 1,141,0,3,0,14,2,1,4-3-3d,2,1,10,0,400,7,2,10,115,38,86,16,21,59,27,6,3.2,268,1,0.47,1.76,-1.29,0.3,0,0.05,0.15,1.76,0,34,2,28,2,22,3,62,6,22,1,3,1,2,1,1,0,0,0,1,0,0,0,259,120,139,73,53%,120,47,39%,42,16,42,17,59,35,68,108,887,582,4,5,1,12,40,12,4,4,17,8,25:54,147,0:11
44451,Illinois State,@ Northern Illino,4 : 2,158,4,7,4,8,0,0,4-3-3d,0,5,21,11,421,9,2,8,108,36,80,31,36,88,41,9,3.6,304,2,2.1,1.5,0.58,2,1.92,0.1,0.11,0.75,0.52,32,1,34,10,33,5,65,9,34,7,15,4,9,2,5,1,1,1,2,0,0,0,234,114,128,72,56%,106,42,40%,45,21,51,28,64,32,64,88,876,612,7,2,1,27,45,12,12,10,24,17,26:12,154,0:10
44449,Illinois State,vs Northwestern,1 : 2,143,1,1,1,14,0,0,4-2-3-1,1,0,7,5,302,1,1,5,118,49,85,20,21,49,21,4,2.5,181,2,0.48,2.6,-2.08,0.1,2.1,0.07,0.17,1.28,0.48,19,3,27,2,18,1,49,4,15,2,4,1,4,1,0,0,0,0,1,0,0,0,223,112,134,86,64%,89,26,29%,50,26,13,4,51,36,82,101,744,499,2,0,0,10,38,9,5,3,16,7,21:01,146,0:09
44442,Illinois State,vs Utes,0 : 1,134,0,1,0,12,0,0,4-3-3d,2,2,9,2,284,5,0,10,99,39,72,23,32,50,25,6,4.4,180,6,0.47,2.8,-2.37,0.1,0,0.05,0.19,2.8,0,18,3,19,4,30,1,50,3,17,5,3,1,1,0,2,1,0,0,0,0,0,0,244,110,131,68,52%,113,42,37%,50,19,30,12,65,31,80,71,725,460,7,0,0,21,34,5,15,11,17,10,21:03,126,0:10
44437,Illinois State,vs Saint Louis Bil,0 : 2,145,0,1,0,9,0,0,4-3-3d,2,4,9,4,373,2,1,5,103,39,66,13,17,55,32,8,2.9,235,2,0.35,1.76,-1.41,0.3,0,0.04,0.11,0.88,0,20,1,20,4,32,2,56,6,16,1,9,1,5,1,4,0,0,0,1,0,0,0,214,116,106,66,62%,108,50,46%,43,19,30,19,36,21,52,85,773,513,4,1,0,8,47,7,3,1,14,7,22:14,144,0:09
44434,Illinois State,@ Western Illinoi,3 : 4,149,3,10,3,8,1,0,4-3-3d,5,5,16,7,455,7,5,11,93,22,71,12,22,62,39,14,2.8,341,5,2.6,2,0.6,2,1.14,0.16,0.08,0.51,0.88,29,4,24,6,30,2,68,7,15,5,7,3,2,0,5,3,0,0,0,0,0,0,212,100,116,58,50%,96,42,44%,30,14,27,14,25,15,74,65,882,619,8,1,0,16,45,30,5,4,17,12,30:54,130,0:14
